Date,Adani Enterprises,BEL,BHEL,HCL,HUL,ITC,SPYL,Tata Steel,VUSA
2023-03-29,1740.400024,91.550003,70.300003,96.449997,2530.850098,382.75,401.350006,103.599998,69.830002
2023-03-30,,,,,,,403.700012,,70.0
2023-03-31,1750.449951,97.550003,70.050003,98.349998,2560.350098,383.5,409.390015,104.5,70.410004
2023-04-03,1717.449951,96.599998,69.800003,99.349998,2536.100098,378.899994,410.950012,104.099998,70.93
2023-04-04,,,,,,,408.670013,,70.730003
2023-04-05,1698.0,98.25,68.099998,98.199997,2582.75,386.399994,407.600006,104.849998,69.980003
2023-04-06,1754.050049,98.75,70.599998,99.0,2565.25,387.350006,409.190002,104.349998,69.989998
2023-04-10,1797.25,99.900002,71.300003,100.5,2532.149902,388.549988,409.609985,104.949997,
2023-04-11,1803.150024,100.0,71.949997,100.699997,2547.75,396.0,409.720001,107.550003,70.449997
2023-04-12,1847.25,100.800003,71.650002,100.949997,2528.949951,393.549988,408.049988,107.599998,69.699997
2023-04-13,1870.75,100.900002,71.800003,100.550003,2536.199951,395.600006,413.470001,107.5,69.400002
2023-04-14,,,,,,,412.459991,,70.110001
2023-04-17,1878.75,101.400002,72.650002,102.300003,2551.850098,400.149994,413.940002,107.150002,70.470001
2023-04-18,1850.949951,102.949997,75.449997,101.150002,2541.050049,398.5,414.209991,107.599998,70.599998
2023-04-19,1853.849976,101.400002,75.400002,101.300003,2531.600098,398.75,414.140015,108.099998,70.489998
2023-04-20,1842.900024,102.849998,76.25,101.099998,2492.600098,400.299988,411.880005,108.0,70.099998
2023-04-21,1803.0,102.800003,75.25,98.5,2497.949951,408.25,412.200012,106.150002,69.839996
2023-04-24,1801.949951,101.800003,76.550003,99.300003,2499.75,408.700012,412.630005,106.5,69.57
2023-04-25,1844.599976,101.150002,77.099998,99.099998,2490.449951,411.549988,406.079987,107.050003,69.510002
2023-04-26,1847.900024,101.650002,77.5,98.900002,2510.800049,412.25,404.359985,106.849998,68.980003
2023-04-27,1853.050049,101.449997,77.300003,99.849998,2468.949951,416.0,412.410004,107.650002,69.5
2023-04-28,1924.949951,103.300003,78.400002,101.400002,2457.300049,425.549988,415.929993,107.949997,69.889999
2023-05-01,,,,,,,415.51001,,
2023-05-02,1919.849976,104.300003,81.599998,104.300003,2451.699951,424.450012,410.839996,110.300003,69.440002
2023-05-03,1839.0,106.349998,86.949997,105.300003,2486.0,427.149994,408.019989,109.699997,69.209999
2023-05-04,1911.25,107.25,86.050003,107.599998,2506.75,424.600006,405.130005,111.050003,68.169998
2023-05-05,1920.300049,106.300003,80.75,104.650002,2500.75,428.75,412.630005,108.650002,69.690002
2023-05-08,1887.5,107.300003,81.599998,106.900002,2516.300049,431.450012,412.73999,109.550003,69.720001
2023-05-09,1896.099976,107.550003,79.400002,105.75,2515.800049,423.799988,410.929993,109.550003,69.739998
2023-05-10,1892.150024,108.050003,80.599998,105.699997,2522.699951,425.350006,412.850006,109.25,69.459999
2023-05-11,1984.650024,108.599998,81.050003,105.099998,2592.399902,420.399994,412.130005,108.550003,69.959999
